Dataset, K, Total time, Diversity, Alpha,,
scp41.txt,5,572,0.032553186,6,,0.032553186
scp41.txt,6,567,0.033677961,6,,0.033677961
scp41.txt,7,562,0.034920394,6,,0.034920394
scp41.txt,8,575,0.035475649,6,,0.035475649
scp41.txt,9,566,0.035655178,6,,0.035655178
scp41.txt,10,567,0.035677855,6,,0.035677855
scp41.txt,11,567,0.03531278,6,,0.03531278
scp41.txt,12,572,0.035005414,6,,0.035005414
scp41.txt,13,583,0.034728199,6,,0.034728199
scp41.txt,14,594,0.034490623,6,,0.034490623
scp41.txt,15,592,0.034274588,6,,0.034274588
scp41.txt,16,591,0.034086429,6,,0.034086429
scp41.txt,17,594,0.034133747,6,,0.034133747
scp41.txt,18,603,0.034151854,6,,0.034151854
scp41.txt,19,599,0.034519751,6,,0.034519751
scp41.txt,20,614,0.034796183,6,,0.034796183
scp41.txt,5,562,0.031773512,7,,0.031773512
scp41.txt,6,566,0.03275769,7,,0.03275769
scp41.txt,7,562,0.033844819,7,,0.033844819
scp41.txt,8,578,0.034330666,7,,0.034330666
scp41.txt,9,568,0.034487754,7,,0.034487754
scp41.txt,10,585,0.034507596,7,,0.034507596
scp41.txt,11,570,0.034188156,7,,0.034188156
scp41.txt,12,576,0.033919211,7,,0.033919211
scp41.txt,13,577,0.033676648,7,,0.033676648
scp41.txt,14,583,0.033468768,7,,0.033468768
scp41.txt,15,587,0.033279738,7,,0.033279738
scp41.txt,16,588,0.033115099,7,,0.033115099
scp41.txt,17,594,0.033156502,7,,0.033156502
scp41.txt,18,600,0.033172346,7,,0.033172346
scp41.txt,19,604,0.033494256,7,,0.033494256
scp41.txt,20,605,0.033736134,7,,0.033736134
scp41.txt,5,559,0.031167098,8,,0.031167098
scp41.txt,6,566,0.032041923,8,,0.032041923
scp41.txt,7,563,0.03300826,8,,0.03300826
scp41.txt,8,571,0.033440125,8,,0.033440125
scp41.txt,9,581,0.033579758,8,,0.033579758
scp41.txt,10,576,0.033597396,8,,0.033597396
scp41.txt,11,581,0.033313449,8,,0.033313449
scp41.txt,12,579,0.033074386,8,,0.033074386
scp41.txt,13,586,0.032858775,8,,0.032858775
scp41.txt,14,582,0.032673993,8,,0.032673993
scp41.txt,15,594,0.032505966,8,,0.032505966
scp41.txt,16,592,0.03235962,8,,0.03235962
scp41.txt,17,596,0.032396423,8,,0.032396423
scp41.txt,18,597,0.032410506,8,,0.032410506
scp41.txt,19,603,0.032696648,8,,0.032696648
scp41.txt,20,607,0.032911651,8,,0.032911651
scp41.txt,5,558,0.030681967,9,,0.030681967
scp41.txt,6,564,0.03146931,9,,0.03146931
scp41.txt,7,570,0.032339013,9,,0.032339013
scp41.txt,8,565,0.032727691,9,,0.032727691
scp41.txt,9,570,0.032853361,9,,0.032853361
scp41.txt,10,580,0.032869235,9,,0.032869235
scp41.txt,11,576,0.032613683,9,,0.032613683
scp41.txt,12,581,0.032398526,9,,0.032398526
scp41.txt,13,585,0.032204476,9,,0.032204476
scp41.txt,14,585,0.032038173,9,,0.032038173
scp41.txt,15,593,0.031886948,9,,0.031886948
scp41.txt,16,597,0.031755237,9,,0.031755237
scp41.txt,17,591,0.031788359,9,,0.031788359
scp41.txt,18,599,0.031801035,9,,0.031801035
scp41.txt,19,603,0.032058562,9,,0.032058562
scp41.txt,20,623,0.032252065,9,,0.032252065
scp41.txt,5,559,0.030285042,10,,0.030285042
scp41.txt,6,575,0.031000808,10,,0.031000808
scp41.txt,7,565,0.031791447,10,,0.031791447
scp41.txt,8,562,0.032144791,10,,0.032144791
scp41.txt,9,569,0.032259037,10,,0.032259037
scp41.txt,10,587,0.032273467,10,,0.032273467
scp41.txt,11,583,0.032041147,10,,0.032041147
scp41.txt,12,580,0.03184555,10,,0.03184555
scp41.txt,13,581,0.031669141,10,,0.031669141
scp41.txt,14,578,0.031517956,10,,0.031517956
scp41.txt,15,588,0.031380479,10,,0.031380479
scp41.txt,16,592,0.031260742,10,,0.031260742
scp41.txt,17,602,0.031290853,10,,0.031290853
scp41.txt,18,609,0.031302376,10,,0.031302376
scp41.txt,19,608,0.031536492,10,,0.031536492
scp41.txt,20,616,0.031712403,10,,0.031712403
scp42.txt,5,582,0.048375099,0.1,,0.048375099
scp42.txt,6,592,0.049131828,0.1,,0.049131828
scp42.txt,7,590,0.04855516,0.1,,0.04855516
scp42.txt,8,590,0.04882542,0.1,,0.04882542
scp42.txt,9,587,0.048444991,0.1,,0.048444991
scp42.txt,10,586,0.048562983,0.1,,0.048562983
scp42.txt,11,598,0.052956398,0.1,,0.052956398
scp42.txt,12,600,0.05610362,0.1,,0.05610362
scp42.txt,13,603,0.057347525,0.1,,0.057347525
scp42.txt,14,604,0.058307227,0.1,,0.058307227
scp42.txt,15,605,0.057546536,0.1,,0.057546536
scp42.txt,16,604,0.057013128,0.1,,0.057013128
scp42.txt,17,613,0.057920127,0.1,,0.057920127
scp42.txt,18,609,0.058653603,0.1,,0.058653603
scp42.txt,19,618,0.058037995,0.1,,0.058037995
scp42.txt,20,632,0.05756231,0.1,,0.05756231
scp42.txt,5,579,0.046724793,0.2,,0.046724793
scp42.txt,6,576,0.047384927,0.2,,0.047384927
scp42.txt,7,578,0.046856314,0.2,,0.046856314
scp42.txt,8,595,0.047104053,0.2,,0.047104053
scp42.txt,9,585,0.046755326,0.2,,0.046755326
scp42.txt,10,593,0.046863485,0.2,,0.046863485
scp42.txt,11,588,0.050890782,0.2,,0.050890782
scp42.txt,12,590,0.053775736,0.2,,0.053775736
scp42.txt,13,594,0.054915983,0.2,,0.054915983
scp42.txt,14,599,0.055795709,0.2,,0.055795709
scp42.txt,15,598,0.055098409,0.2,,0.055098409
scp42.txt,16,603,0.054609452,0.2,,0.054609452
scp42.txt,17,610,0.055440867,0.2,,0.055440867
scp42.txt,18,613,0.05611322,0.2,,0.05611322
scp42.txt,19,618,0.055548913,0.2,,0.055548913
scp42.txt,20,628,0.055112868,0.2,,0.055112868
scp42.txt,5,581,0.045328381,0.3,,0.045328381
scp42.txt,6,576,0.04590678,0.3,,0.04590678
scp42.txt,7,586,0.04541883,0.3,,0.04541883
scp42.txt,8,581,0.045647511,0.3,,0.045647511
scp42.txt,9,586,0.04532561,0.3,,0.04532561
scp42.txt,10,592,0.045425449,0.3,,0.045425449
scp42.txt,11,585,0.049142954,0.3,,0.049142954
scp42.txt,12,591,0.051805988,0.3,,0.051805988
scp42.txt,13,600,0.052858524,0.3,,0.052858524
scp42.txt,14,599,0.053670578,0.3,,0.053670578
scp42.txt,15,597,0.053026917,0.3,,0.053026917
scp42.txt,16,607,0.052575572,0.3,,0.052575572
scp42.txt,17,610,0.053343032,0.3,,0.053343032
scp42.txt,18,614,0.053963666,0.3,,0.053963666
scp42.txt,19,617,0.053442767,0.3,,0.053442767
scp42.txt,20,628,0.053040264,0.3,,0.053040264
scp42.txt,5,579,0.044131455,0.4,,0.044131455
scp42.txt,6,581,0.044639796,0.4,,0.044639796
scp42.txt,7,580,0.0441867,0.4,,0.0441867
scp42.txt,8,585,0.044399047,0.4,,0.044399047
scp42.txt,9,589,0.044100139,0.4,,0.044100139
scp42.txt,10,582,0.044192847,0.4,,0.044192847
scp42.txt,11,583,0.047644816,0.4,,0.047644816
scp42.txt,12,592,0.050117633,0.4,,0.050117633
scp42.txt,13,604,0.051094987,0.4,,0.051094987
